MalzemeId;MalzemeKategoriId;MalzemeMarkaId;OlcuBirimiId;UrunAd;UrunKodu;Barkod;Resim;Tarih;OzelAlan;IslemiYapan;Aciklama;Ikaz;AlisFiyat;AlisParaBirimiId;SatisFiyat;SatisParaBirimiId;RafNo;
15842;91;NULL;2;YAÐ 85/140 NUMARALI ;15841;;NULL;10.12.2016;;472;;0;0.00;3;0.00;3;;
15843;91;NULL;2;YAÐ 90 NUMARA ;15842;;NULL;10.12.2016;;472;;0;0.00;3;0.00;3;;
15844;91;NULL;2;YAÐ ATF ;15843;;NULL;10.12.2016;;472;;0;0.00;3;0.00;3;;
15845;91;NULL;2;YAÐ  426 DÝÞLÝ ;15844;;NULL;10.12.2016;;472;;0;0.00;3;0.00;3;;
15846;91;NULL;2;YAÐ DOT 3 ;15845;;NULL;10.12.2016;;472;;0;0.00;3;0.00;3;;
15847;91;NULL;2;YAÐ DOT 4 ;15846;;NULL;10.12.2016;;472;;0;0.00;3;0.00;3;;
15848;91;NULL;2;YAÐ GAZ ;15847;;NULL;10.12.2016;;472;;0;0.00;3;0.00;3;;
15849;91;NULL;2;YAÐ GRES ;15848;;NULL;10.12.2016;;472;;0;0.00;3;0.00;3;;
15850;104;NULL;1;AYAKKABI;15849;;NULL;10.12.2016;;472;;0;0.00;3;0.00;3;;
15851;104;NULL;1;BARET;15850;;NULL;10.12.2016;;472;;0;0.00;3;0.00;3;;
15852;104;NULL;1;BERE;15851;;NULL;10.12.2016;;472;;0;0.00;3;0.00;3;;
15853;102;NULL;1;CAM SUYU;15852;;NULL;10.12.2016;;472;;0;0.00;3;0.00;3;;
15854;157;NULL;1;BÝLGÝSAYAR;15853;;NULL;11.12.2016;;472;;0;0.00;3;0.00;3;;
15855;97;NULL;1;YAZICI;15854;;NULL;11.12.2016;;472;;0;0.00;3;0.00;3;;
15856;101;NULL;1;AKÜ 160 AMPER ;15855;;NULL;11.12.2016;;472;;0;0.00;3;0.00;3;;
15859;107;225;1;BIÇAK YOLBAK KAMYON ;15858;;NULL;14.12.2016;;472;;50;0.00;3;0.00;3;;
15860;102;NULL;3;HORTUM;15859;;NULL;14.12.2016;;472;;0;0.00;3;0.00;3;;
15861;102;NULL;1;KAYIÞ;15860;;NULL;14.12.2016;;472;;0;0.00;3;0.00;3;;
15862;113;NULL;1;CÝVATA SOMUN VE DÝÐER SARF MALZEMELER;15861;;NULL;14.12.2016;;472;;0;0.00;3;0.00;3;;
15863;114;NULL;1;MOTOR ÝÞMAKÝNASI;15862;;NULL;29.12.2016;;472;;0;0.00;3;0.00;3;;
15864;114;NULL;1;MOTOR ARAÇLAR;15863;;NULL;29.12.2016;;472;;0;0.00;3;0.00;3;;
15865;191;NULL;1;ÝPTAL MOTOR TUZ SERÝCÝ;15864;;NULL;29.12.2016;;472;;0;0.00;3;0.00;3;;
15867;115;NULL;1;BAKIM ONARIM TAMÝRAT;15866;;NULL;29.12.2016;;472;;0;0.00;3;0.00;3;;
15871;118;NULL;1;NAKLÝYE AKARYAKIT;15870;;NULL;29.12.2016;;472;;0;0.00;3;0.00;3;;
15872;118;NULL;1;NAKLÝYE MAKÝNA;15871;;NULL;29.12.2016;;472;;0;0.00;3;0.00;3;;
15873;118;NULL;6;NAKLÝYE AGREGA ;15872;;NULL;29.12.2016;;472;;0;0.00;3;0.00;3;;
15874;95;NULL;1;ALIM ARAÇ;15873;;NULL;29.12.2016;;472;;0;0.00;3;0.00;3;;
15875;95;NULL;1;ALIM ÝÞ MAKÝNASI;15874;;NULL;29.12.2016;;472;;0;0.00;3;0.00;3;;
15876;102;NULL;1;ARAÇ PROJE GÝDERLERÝ;15875;;NULL;29.12.2016;;472;;0;0.00;3;0.00;3;;
15877;102;NULL;1;ARAÇ TAKÝP CÝHAZI GÝDERLERÝ;15876;;NULL;29.12.2016;;472;;0;0.00;3;0.00;3;;
15878;102;NULL;1;ARAÇ RUHSAT VE DÝÐER GÝDERLERÝ;15877;;NULL;29.12.2016;;472;;0;0.00;3;0.00;3;;
15879;102;NULL;1;ARAÇ GÝYDÝRME VE KAPLAMA GÝDERLERÝ;15878;;NULL;29.12.2016;;472;;0;0.00;3;0.00;3;;
15880;120;NULL;1;ELEKTÝRÝK ARAÇ GÝDERÝ;15879;;NULL;29.12.2016;;472;;0;0.00;3;0.00;3;;
15881;120;NULL;1;ELEKTÝRÝK ÝÞ MAKÝNASI GÝDERLERÝ;15880;;NULL;29.12.2016;;472;;0;0.00;3;0.00;3;;
15882;131;NULL;1;ELEKTÝRÝK TUZ SERÝCÝ GÝDERLERÝ;15881;;NULL;29.12.2016;;472;;0;0.00;3;0.00;3;;
15883;97;NULL;1;ÞANTÝYE ELEKTÝRÝK FATURA GÝDERLERÝ;15882;;NULL;29.12.2016;;472;;0;0.00;3;0.00;3;;
15884;97;NULL;1;ÞANTÝYE TELEFON VE ÝNTERNET GÝDERLERÝ;15883;;NULL;29.12.2016;;472;;0;0.00;3;0.00;3;;
15885;97;NULL;1;ÞANTÝYE SU FATURA GÝDERLERÝ;15884;;NULL;29.12.2016;;472;;0;0.00;3;0.00;3;;
15886;122;NULL;1;TAZMÝNAT PERSONEL;15885;;NULL;29.12.2016;;472;;0;0.00;3;0.00;3;;
15887;122;NULL;1;TAZMÝNAT ARAÇ KAZALAR;15886;;NULL;29.12.2016;;472;;0;0.00;3;0.00;3;;
15888;122;NULL;1;TAZMÝNAT ÝÞ KAZALARI;15887;;NULL;29.12.2016;;472;;0;0.00;3;0.00;3;;
15889;123;NULL;1;OT BÝÇME BAKIM VE ONARIM GÝDERÝ;15888;;NULL;29.12.2016;;472;;0;0.00;3;0.00;3;;
15890;102;NULL;1;ARAÇ MUAYNE;15889;;NULL;29.12.2016;;472;;0;0.00;3;0.00;3;;
15891;102;NULL;1;ARAÇ TRAFÝK SÝGORTA;15890;;NULL;29.12.2016;;472;;0;0.00;3;0.00;3;;
15893;128;NULL;1;TÜP GIDA;15892;;NULL;1.01.2017;;472;;0;0.00;3;0.00;3;;
15894;126;NULL;1;BORU KORUGE 1200 MM ;15893;;NULL;1.01.2017;;472;;0;0.00;3;0.00;3;;
15895;98;NULL;1;FIRÇA 2200 MM ÖN SÜPÜRGE;15894;;NULL;1.01.2017;;472;;0;0.00;3;0.00;3;;
15896;98;NULL;1;FIRÇA ÇELÝK 255X600 MM ;15895;;NULL;1.01.2017;;472;;0;0.00;3;0.00;3;;
15897;98;NULL;1;FIRÇA PLASTÝK 255X600 MM ;15896;;NULL;1.01.2017;;472;;0;0.00;3;0.00;3;;
15898;98;NULL;1;FIRÇA ÇELÝK 260x600 ORTA ;15897;;NULL;1.01.2017;;472;;0;0.00;3;0.00;3;;
15899;98;NULL;1;FIRÇA PLASTÝK  260x600 ;15898;;NULL;1.01.2017;;472;;0;0.00;3;0.00;3;;
15900;126;NULL;1;BORU  KORUGE  300 MM SN4 ;15899;;NULL;1.01.2017;;472;;0;0.00;3;0.00;3;;
15901;126;NULL;1;BORU KORUGE 300 MM SN8;15900;;NULL;1.01.2017;;472;;0;0.00;3;0.00;3;;
15902;98;NULL;1;FIRÇA ÇELÝK 31 CM YAN ;15901;;NULL;1.01.2017;;472;;0;0.00;3;0.00;3;;
15903;113;NULL;1;FIRÇA  ÇELÝK 390 MM;15902;;NULL;1.01.2017;;472;;0;0.00;3;0.00;3;;
15904;98;NULL;1;FIRÇA PLASTÝK 390 MM  (KALIN);15903;;NULL;1.01.2017;;472;;0;0.00;3;0.00;3;;
15905;126;NULL;1;BORU KORUGE 400 MM SN 4 ;15904;;NULL;1.01.2017;;472;;0;0.00;3;0.00;3;;
15906;126;NULL;1;BORU KORUGE 400 MM SN 8 ;15905;;NULL;1.01.2017;;472;;0;0.00;3;0.00;3;;
15907;98;NULL;1;FIRÇA ÇELÝK 45'LÝK YAN ;15906;;NULL;1.01.2017;;472;;0;0.00;3;0.00;3;;
15908;126;NULL;1;BORU KORUGE 500 MM SN4 ;15907;;NULL;1.01.2017;;472;;0;0.00;3;0.00;3;;
15909;126;NULL;1;BORU KORUGE 500 MM SN8 ;15908;;NULL;1.01.2017;;472;;0;0.00;3;0.00;3;;
15910;126;NULL;1;BORU KORUGE 600 MM SN4 ;15909;;NULL;1.01.2017;;472;;0;0.00;3;0.00;3;;
15911;126;NULL;1;BORU KORUGE 600MM SN8 ;15910;;NULL;1.01.2017;;472;;0;0.00;3;0.00;3;;
15912;98;NULL;1;FIRÇA PLASTÝK 7'LÝ ORTA ;15911;;NULL;1.01.2017;;472;;0;0.00;3;0.00;3;;
15913;126;NULL;1;BORU KORUGE 800 MM SN8 ;15912;;NULL;1.01.2017;;472;;0;0.00;3;0.00;3;;
15914;200;NULL;6;TUZ AGREGASI;15913;;NULL;1.01.2017;;472;;0;0.00;3;0.00;3;;
15915;154;NULL;6;MICIR;15914;;NULL;1.01.2017;;472;;0;0.00;3;0.00;3;;
15916;127;NULL;6;DEMÝR ;15915;;NULL;1.01.2017;;472;;0;0.00;3;0.00;3;;
15917;107;NULL;1;BIÇAK GREYDER 13 DELÝKLÝ;15916;;NULL;1.01.2017;;472;;10;0.00;3;0.00;3;;
15918;107;NULL;1;BIÇAK YÜLEYÝCÝ;15917;;NULL;1.01.2017;;472;;0;0.00;3;0.00;3;;
15919;128;NULL;1;TÜP OKSÝJEN ;15918;;NULL;1.01.2017;;472;;0;0.00;3;0.00;3;;
15920;102;NULL;1;ARAÇ YIKAMA;15919;;NULL;1.01.2017;;472;;0;0.00;3;0.00;3;;
15921;95;NULL;1;OT BÝÇME MAKÝNASI ( VIVIZ );15920;;NULL;1.01.2017;;472;;0;0.00;3;0.00;3;;
15922;123;NULL;1;OT BÝÇME ÇEKÝLÝR TAMBUR VE BIÇAK;15921;;NULL;1.01.2017;;472;;0;0.00;3;0.00;3;;
15923;155;NULL;2;ANTÝFÝRÝZ;15922;;NULL;2.01.2017;;472;;10;0.00;3;0.00;3;;
15924;91;NULL;2;YAÐ ÇEÞÝT;15923;;NULL;2.01.2017;;472;;0;0.00;3;0.00;3;;
15925;99;NULL;1;OKSÝJEN TAKIMI;15924;;NULL;3.01.2017;;472;;0;0.00;3;0.00;3;;
15926;99;234;1;HÝLTÝ KIRICI;15925;;NULL;3.01.2017;;472;CROWN KIRICI;0;0.00;3;0.00;3;;
15927;99;NULL;1;LOKMA TAKIMI;15926;;NULL;3.01.2017;;472;;0;0.00;3;0.00;3;;
15928;99;NULL;1;KAYNAK MAK ÇANTA;15927;;NULL;3.01.2017;;472;;0;0.00;3;0.00;3;;
15929;99;NULL;1;SEGMAN PENSESÝ;15928;;NULL;3.01.2017;;472;;0;0.00;3;0.00;3;;
15930;99;NULL;1;MENGENE;15929;;NULL;3.01.2017;;472;;0;0.00;3;0.00;3;;
15931;99;NULL;1;JENERATÖR;15930;;NULL;3.01.2017;;472;;0;0.00;3;0.00;3;;
15932;99;NULL;1;HAVALI TABANCA  ;15931;;NULL;3.01.2017;;472;;0;0.00;3;0.00;3;;
15933;99;NULL;1;GRES EL POMPASII ;15932;;NULL;3.01.2017;;472;;0;0.00;3;0.00;3;;
15934;99;NULL;1;GRES HAVALI POMPASI;15933;;NULL;3.01.2017;;472;;0;0.00;3;0.00;3;;
15935;95;NULL;1;ÖLÇÜM CÝPÝHEYS CÝHAZI;15934;;NULL;3.01.2017;;472;;0;0.00;3;0.00;3;;
15936;95;NULL;1;ÇAMAÞIR MAKÝNASI;15935;;NULL;3.01.2017;;472;;0;0.00;3;0.00;3;;
15937;95;NULL;1;BUZ DOLABI;15936;;NULL;3.01.2017;;472;;0;0.00;3;0.00;3;;
15938;95;NULL;1;ÞOHBEN;15937;;NULL;3.01.2017;;472;;0;0.00;3;0.00;3;;
15939;95;NULL;1;UYDU CÝHAZ VE ÇANAK;15938;;NULL;3.01.2017;;472;;0;0.00;3;0.00;3;;
15940;95;NULL;1;MASA;15939;;NULL;3.01.2017;;472;;0;0.00;3;0.00;3;;
15941;95;NULL;1;SANDALYE;15940;;NULL;3.01.2017;;472;;0;0.00;3;0.00;3;;
15942;95;NULL;1;MOTORLU TESTERE;15941;;NULL;3.01.2017;;472;;0;0.00;3;0.00;3;;
15943;95;NULL;1;MATKAP;15942;;NULL;3.01.2017;;472;;0;0.00;3;0.00;3;;
15944;95;NULL;1;TAÞLAMA MAKÝNASI;15943;;NULL;3.01.2017;;472;;0;0.00;3;0.00;3;;
15945;95;NULL;1;MOTOPOMP;15944;;NULL;3.01.2017;;472;;0;0.00;3;0.00;3;;
15946;99;NULL;1;KRÝKO ÞANZUMAN;15945;;NULL;3.01.2017;;472;;0;0.00;3;0.00;3;;
15947;99;NULL;1;KRÝKO;15946;;NULL;3.01.2017;;472;;0;0.00;3;0.00;3;;
15948;95;NULL;1;YOL ÇÝZGÝ MAKÝNASI;15947;;NULL;3.01.2017;;472;;0;0.00;3;0.00;3;;
15950;99;NULL;1;TAKIM ÇANTASI;15949;;NULL;3.01.2017;;472;;0;0.00;3;0.00;3;;
15951;100;NULL;2;ADBLUE;15950;;NULL;3.01.2017;;472;;0;0.00;3;0.00;3;;
15952;95;NULL;1;KLÝMA;15951;;NULL;3.01.2017;;472;;0;0.00;3;0.00;3;;
15953;95;NULL;1;MAZOT POMPASI;15952;;NULL;3.01.2017;;472;;0;0.00;3;0.00;3;;
15954;95;NULL;1;KONTEYNIR;15953;;NULL;3.01.2017;;472;;0;0.00;3;0.00;3;;
15955;99;NULL;1;ALYAN ANAKTAR TAKIMI;15954;;NULL;3.01.2017;;472;;0;0.00;3;0.00;3;;
15957;111;NULL;1;ZÝNCÝR 17,25 ;15956;;NULL;3.01.2017;;472;GREYDER VE BEKO LODER  MAKÝNALARI ÝÇÝN;0;0.00;3;0.00;3;;
15958;111;NULL;1;ZÝNCÝR 1400-24-16.9*28-18.4*26-14.9*30;15957;;NULL;3.01.2017;;472;GREYDER LER ÝÇÝN;0;0.00;3;0.00;3;;
15959;111;NULL;1;ZÝNCÝR 1300-24;15958;;NULL;3.01.2017;;472;GREYDER ÝÇÝN;0;0.00;3;0.00;3;;
15960;111;NULL;1;ZÝNCÝR 1600-24;15959;;NULL;3.01.2017;;472;GREYDER ÝÇÝN;0;0.00;3;0.00;3;;
15961;111;NULL;1;ZÝNCÝR 315/80*22.5;15960;;NULL;3.01.2017;;472;KAMYONLAR ÝÇÝN;0;0.00;3;0.00;3;;
15962;111;NULL;1;ZÝNCÝR 23,25;15961;;NULL;3.01.2017;;472;LODER YÜKLEYÝCÝ ÝÇÝN;0;0.00;3;0.00;3;;
15964;103;NULL;1;KÝRALAMA ARAÇ;15963;;NULL;4.01.2017;;472;;0;0.00;3;0.00;3;;
15965;103;NULL;1;KÝRALAMA ÝÞ MAKÝNASI;15964;;NULL;4.01.2017;;472;;0;0.00;3;0.00;3;;
15966;103;NULL;1;KÝRALAMA ÞANTÝYE,BÜRO,VE EV ;15965;;NULL;4.01.2017;;472;;0;0.00;3;0.00;3;;
15967;113;NULL;1;ELDÝVEN;15966;;NULL;4.01.2017;;472;;0;0.00;3;0.00;3;;
15968;95;NULL;1;MAZOT TANKI;15967;;NULL;5.01.2017;;472;;0;0.00;3;0.00;3;;
15969;95;NULL;1;KOMPROSÖR;15968;;NULL;5.01.2017;;472;;0;0.00;3;0.00;3;;
15970;95;NULL;1;YIKAMA MAKÝNASI;15969;;NULL;5.01.2017;;472;;0;0.00;3;0.00;3;;
15971;157;NULL;1;TELEVÝZYON;15970;;NULL;5.01.2017;;472;;0;0.00;3;0.00;3;;
15972;99;NULL;1;ANAKTAR TAKIMI;15971;;NULL;5.01.2017;;472;;0;0.00;3;0.00;3;;
15973;99;NULL;1;PENSE;15972;;NULL;5.01.2017;;472;;0;0.00;3;0.00;3;;
15974;99;NULL;1;KURBACI ANAKTAR;15973;;NULL;5.01.2017;;472;;0;0.00;3;0.00;3;;
15975;99;NULL;1;BORU ANAKTARI;15974;;NULL;5.01.2017;;472;;0;0.00;3;0.00;3;;
15976;95;NULL;1;SOBA ELEKTÝRÝKLÝ;15975;;NULL;5.01.2017;;472;;0;0.00;3;0.00;3;;
15977;95;NULL;1;ÇAY OCAÐI;15976;;NULL;5.01.2017;;472;;0;0.00;3;0.00;3;;
15978;95;NULL;1;TELESKOBÝK BUDAMA MAKÝNASI;15977;;NULL;5.01.2017;;472;;0;0.00;3;0.00;3;;
15979;95;NULL;1;GÜÇ KAYNAÐI UPS;15978;;NULL;5.01.2017;;472;;0;0.00;3;0.00;3;;
15980;95;NULL;1;SATIÞ ARAÇ;15979;;NULL;5.01.2017;;472;;0;0.00;3;0.00;3;;
15981;95;NULL;1;SATIÞ ÝÞ MAKÝNASI;15980;;NULL;5.01.2017;;472;;0;0.00;3;0.00;3;;
15982;129;NULL;1;SÝGORTA TRAFÝK;15981;;NULL;5.01.2017;;472;;0;0.00;3;0.00;3;;
15983;129;NULL;1;SÝGORTA KASKO;15982;;NULL;5.01.2017;;472;;0;0.00;3;0.00;3;;
15984;129;NULL;1;SÝGORTA OLRÝSK;15983;;NULL;5.01.2017;;472;;0;0.00;3;0.00;3;;
15985;163;NULL;1;ÝÞÇÝLÝK SANAYÝ;15984;;NULL;5.01.2017;;472;;0;0.00;3;0.00;3;;
15986;188;NULL;1;13135AMJ100013  POWEPACK TAMAMI;15985;;NULL;5.01.2017;KAR BIÇAÐI HAREKET MOTORU POWEPACK;472;KAR BIÇAÐI HAREKET MOTORU POWEPACK;0;0.00;3;0.00;3;;
15987;101;NULL;1;AKÜ 60 AMP;15986;;NULL;7.01.2017;;472;;0;0.00;3;0.00;3;;
15988;101;NULL;1;AKÜ 72 AMP;15987;;NULL;7.01.2017;;472;;0;0.00;3;0.00;3;;
15989;101;NULL;1;AKÜ 90 AMP;15988;;NULL;7.01.2017;;472;;0;0.00;3;0.00;3;;
15990;101;NULL;1;AKÜ 100 AMP;15989;;NULL;7.01.2017;;472;;0;0.00;3;0.00;3;;
15991;101;NULL;1;AKÜ 105 AMP;15990;;NULL;7.01.2017;;472;;0;0.00;3;0.00;3;;
15992;101;NULL;1;AKÜ 120 AMP;15991;;NULL;7.01.2017;;472;;0;0.00;3;0.00;3;;
15993;101;NULL;1;AKÜ 135 AMP;15992;;NULL;7.01.2017;;472;;0;0.00;3;0.00;3;;
15994;101;NULL;1;AKÜ 150 AMP;15993;;NULL;7.01.2017;;472;;0;0.00;3;0.00;3;;
15995;101;NULL;1;AKÜ 165 AMP;15994;;NULL;7.01.2017;;472;;0;0.00;3;0.00;3;;
15996;101;NULL;1;AKÜ 180 AMP;15995;;NULL;7.01.2017;;472;;0;0.00;3;0.00;3;;
15997;101;NULL;1;AKÜ 200 AMP;15996;;NULL;7.01.2017;;472;;0;0.00;3;0.00;3;;
15998;101;NULL;1;AKÜ 225 AMP;15997;;NULL;7.01.2017;;472;;0;0.00;3;0.00;3;;
15999;101;NULL;1;AKÜ 240 AMP;15998;;NULL;7.01.2017;;472;;0;0.00;3;0.00;3;;
16000;130;NULL;1;TUZ SERÝCÝ REDÝKTÖR MÝLÝ;15999;;NULL;7.01.2017;;472;;1;0.00;3;0.00;3;;
16001;191;NULL;1;ÝPTAL  YAÐ TANKI POWERPACK;16000;;NULL;7.01.2017;;472;;0;0.00;3;0.00;3;;
16002;130;223;1;YAÐ TANKI HÝDROLÝK ;16001;;NULL;7.01.2017;;472;;0;0.00;3;0.00;3;;
16003;191;NULL;1;ÝPTAL TUZ SERÝCÝ BIÇAK KUMANDA PANELÝ;16002;;NULL;7.01.2017;;472;;0;0.00;3;0.00;3;;
16004;95;NULL;1;TELEFON;16003;;NULL;7.01.2017;;472;;0;0.00;3;0.00;3;;
16005;127;NULL;1;ÇELÝK HASIR;16004;;NULL;8.01.2017;;472;;0;0.00;3;0.00;3;;
16006;111;NULL;1;ZÝNCÝR 26,5-25;16005;;NULL;9.01.2017;;472;;0;0.00;3;0.00;3;;
16007;97;NULL;1;VÝNÇ GÝDERÝ;16006;;NULL;9.01.2017;;472;;0;0.00;3;0.00;3;;
16008;162;NULL;1;FÝLTRE ÖRNEK;16007;;NULL;9.01.2017;;472;;0;0.00;3;0.00;3;;
16009;102;NULL;1;YEDEK PARÇA;16008;;NULL;9.01.2017;;472;;0;0.00;3;0.00;3;;
16010;94;NULL;1;BETON C-25;16009;;NULL;10.01.2017;;472;;0;0.00;3;0.00;3;;
16011;94;NULL;13;BETON C-30;16010;;NULL;10.01.2017;;472;;0;0.00;3;0.00;3;;
16012;94;NULL;13;BETON C-35;16011;;NULL;10.01.2017;;472;;0;0.00;3;0.00;3;;
16013;111;NULL;1;ZÝNCÝR 205/75/17,5 OTAKAR;16012;;NULL;10.01.2017;;472;;0;0.00;3;0.00;3;;
16014;111;NULL;1;ZÝNCÝR 215/75-235/6516   FORT TRANSÝT;16013;;NULL;10.01.2017;;472;;0;0.00;3;0.00;3;;
16015;111;NULL;1;ZÝNCÝR 195/60/15-185/65*16   BÝNEK;16014;;NULL;10.01.2017;;472;;0;0.00;3;0.00;3;;
16016;111;NULL;1;ZÝNCÝR 700/16 MITSUBÝÞHÝ FUSO;16015;;NULL;10.01.2017;;472;;0;0.00;3;0.00;3;;
16017;95;NULL;1;MAZOT ELEKTRÝKLÝ TRANSFER POMPASI ;16016;;NULL;10.01.2017;;472;;0;0.00;3;0.00;3;;
16018;95;NULL;1;FOTORAF MAKÝNASI;16017;;NULL;11.01.2017;;472;;0;0.00;3;0.00;3;;
16019;147;NULL;2;MAZOT;16018;;NULL;11.01.2017;;472;;0;NULL;3;NULL;3;;
16020;97;NULL;1;PATLATMA MALZ VE HÝZMET BEDEL GÝDERÝ;16019;;NULL;11.01.2017;;472;;0;0.00;3;0.00;3;;
16021;111;NULL;1;ZÝNCÝR 600/18       FORT TRANSÝT;16020;;NULL;11.01.2017;;472;;0;0.00;3;0.00;3;;
16022;97;NULL;1;KAYNAK ÝÞLERÝ ;16021;;NULL;11.01.2017;;472;;0;0.00;3;0.00;3;;
16023;131;NULL;1;YOL BUZ ÇÖZÜCÜ KÝMYASALAR;16022;;NULL;12.01.2017;;472;;0;0.00;3;0.00;3;;
16024;97;NULL;1;GIDA ;16023;;NULL;13.01.2017;;472;;0;0.00;3;0.00;3;;
16025;158;NULL;17;KÖMÜR;16024;;NULL;14.01.2017;;472;;0;0.00;3;0.00;3;;
16026;97;NULL;1;KIRTASÝYE;16025;;NULL;14.01.2017;;472;;0;0.00;3;0.00;3;;
16027;97;NULL;1;HIRDAVAT MALZ;16026;;NULL;14.01.2017;;472;;0;0.00;3;0.00;3;;
16028;97;NULL;1;DOLAP;16027;;NULL;16.01.2017;;472;;0;0.00;3;0.00;3;;
16029;108;NULL;1;LASTÝK TAMÝRÝ VE DEÐÝÞÝMÝ;16028;;NULL;17.01.2017;;472;;0;0.00;3;0.00;3;;
16031;132;NULL;1;GELÝR KÝRALAMA;16030;;NULL;17.01.2017;;472;;0;0.00;3;0.00;3;;
16032;132;NULL;1;GELÝR HAKEDÝÞ;16031;;NULL;17.01.2017;;472;;0;0.00;3;0.00;3;;
16033;132;NULL;1;GELÝR AKARYAKIT NAKLÝYE;16032;;NULL;17.01.2017;;472;;0;0.00;3;0.00;3;;
16034;132;NULL;1;FATURA TUTAR-MÝKTAR ÝADE;16033;;NULL;17.01.2017;;472;;0;0.00;3;0.00;3;;
16035;132;NULL;1;FATURA ÝPTAL ÝADE;16034;;NULL;17.01.2017;;472;;0;0.00;3;0.00;3;;
16036;95;NULL;1;TELSÝZ;16035;;NULL;17.01.2017;;472;;0;0.00;3;0.00;3;;
16037;95;NULL;1;MUTFAK MALZEMELERÝ;16036;;NULL;17.01.2017;;472;;0;0.00;3;0.00;3;;
16038;123;NULL;2;OT BÝÇME YAKIT GÝDERLERÝ;16037;;NULL;17.01.2017;;472;;0;0.00;3;0.00;3;;
16039;132;NULL;1;GELÝR SÝGORTA HASAR ÖDEMESÝ;16038;;NULL;23.01.2017;;472;;1;0.00;3;0.00;3;;
16040;132;NULL;1;GELÝR ATÖLYE;16039;;NULL;23.01.2017;;472;;0;0.00;3;0.00;3;;
16041;104;NULL;1;MONT;16040;;NULL;25.01.2017;;472;;0;0.00;3;0.00;3;;
16042;104;NULL;1;YELEK;16041;;NULL;25.01.2017;;472;;0;0.00;3;0.00;3;;
16043;124;NULL;1;POMPA DÝREKSÝYON  (BMC FATÝH);16042;;NULL;25.01.2017;;472;;0;0.00;3;0.00;3;;
16044;113;NULL;1;SIVI CONTA ;16043;;NULL;25.01.2017;;472;;0;0.00;3;0.00;3;;
16045;124;NULL;1;ELEKTÝRÝK MOTOR 75 KW;16044;;NULL;25.01.2017;;472;;0;0.00;3;0.00;3;;
16046;124;NULL;1;ELEKTÝRÝK MOTOR 90 KW;16045;;NULL;25.01.2017;;472;;0;0.00;3;0.00;3;;
16047;124;NULL;1;ELEKTÝRÝK MOTOR 132 KW;16046;;NULL;25.01.2017;;472;;0;0.00;3;0.00;3;;
16048;124;NULL;1;ELEKTÝRÝK MOTOR 7,5 KW;16047;;NULL;25.01.2017;;472;;0;0.00;3;0.00;3;;
16049;124;NULL;1;ELEKTÝRÝK MOTOR 5,5 KW;16048;;NULL;25.01.2017;;472;;0;0.00;3;0.00;3;;
16050;124;NULL;1;ELEKTÝRÝK MOTOR 11 KW;16049;;NULL;25.01.2017;;472;;0;0.00;3;0.00;3;;
16051;124;NULL;1;ELEKTÝRÝK MOTOR 15 KW;16050;;NULL;25.01.2017;;472;;0;0.00;3;0.00;3;;
16052;97;NULL;1;ÝLAN-REKLAM ;16051;;NULL;3.02.2017;;472;;0;0.00;3;0.00;3;;
16053;131;NULL;1;POWEPACK MOTORU YENÝ;16052;;NULL;6.02.2017;;472;;0;0.00;3;0.00;3;;
